metric,baseline,method,primary,sessions_from,direction,a_mean,b_mean,diff,ci_low,ci_high,n_patients,assessment
exact_duplicate_rate,V1,V2 floor=4 (post-hoc),False,0,lower better,0.0,0.0,0.0,0.0,0.0,30,no clear difference
semantic_near_dup_pair_rate,V1,V2 floor=4 (post-hoc),False,0,lower better,0.0018713450292397662,0.001871345029239766,0.0,-0.0009064327485380113,0.000994152046783626,30,no clear difference
semantic_diversity,V1,V2 floor=4 (post-hoc),False,0,higher better,0.6785097030660593,0.7265274195135466,0.048017716447487445,0.04186194352696052,0.054254846520964205,30,better
categories_covered,V1,V2 floor=4 (post-hoc),False,0,higher better,1.0,1.0,0.0,0.0,0.0,30,no clear difference
category_entropy,V1,V2 floor=4 (post-hoc),False,0,higher better,1.0,1.0,0.0,0.0,0.0,30,no clear difference
relevance_proxy_new,V1,V2 floor=4 (post-hoc),False,1,higher better,0.3007607624248638,0.34403530336440874,0.043274540939544866,0.02621566898901909,0.05939519338327906,30,better
replacement_churn,V1,V2 floor=4 (post-hoc),False,1,descriptive,0.39366666666666666,0.2613333333333333,-0.13233333333333333,-0.15333333333333332,-0.11,30,descriptive
mean_words,V1,V2 floor=4 (post-hoc),False,0,descriptive,8.70972222222222,8.769444444444444,0.05972222222222238,-0.023888888888888894,0.1361111111111115,30,descriptive
invalid_output_rate,V1,V2 floor=4 (post-hoc),False,0,lower better,0.05666666666666668,0.05583333333333334,-0.0008333333333333362,-0.020462962962962968,0.017499999999999995,30,no clear difference
llm_calls,V1,V2 floor=4 (post-hoc),False,0,descriptive,4.333333333333332,1.0,-3.3333333333333326,-3.3333333333333326,-3.3333333333333326,30,descriptive
retries,V1,V2 floor=4 (post-hoc),False,0,lower better,0.0,0.0,0.0,0.0,0.0,30,no clear difference
generated_items,V1,V2 floor=4 (post-hoc),False,0,descriptive,11.95,35.0,23.050000000000004,22.96111111111112,23.13333333333333,30,descriptive
selection_ms,V1,V2 floor=4 (post-hoc),False,0,descriptive,4.687849517601232,11.865869436102608,7.178019918501376,6.84005142862184,7.745691873909283,30,descriptive
